person;rating;review_bersih
345;1;salah gagal kelas bca softwarenya sembrono
346;1;buka mybca login bca masuk pilih aneh langsung otomatis
347;1;reset password masuk crash
348;1;login muncul
349;1;reset password verifikasi kirim pulsa habis login kecewa
350;1;salah sila jaring langgan service suruh cek
352;1;blokir transfer saldo bca
353;1;verifikasi kali login heran pulsa
354;1;aplikasi rumit gaji
355;1;password login pilih aneh data buka akses bca mobile mybca salah bahaya
356;1;akun isi data ktp password video malas kali rumit
357;1;rumit verifikasi foto gagal
358;1;buruk salah blokir
359;1;marah isi data tuju klik rekening
360;1;registrasi login
361;1;transaksi gagal jaring buka game lancar bca transfer desak
362;1;login jaring bagus mending pikir bca
363;1;bca login macet password verifikasi sesal anjing
364;1;hapus fitur verifikasi wajah login sulit mending
365;1;buruk ganggu babi
366;1;jaring bagus ganggu salah malu bayar makan qris
368;1;bantu langgan service mybca bca unable continue with verifikasi proces
369;1;server turun login nyusahin malu maluin
371;1;transfer salah pindah bank belah
372;1;buruk jaring kencang aplikasi server penuh lambat gagal transaksi sabtu februari
373;1;verifikasi wajah rumit kali gagal video
374;1;komentar keluh apnya lambat sulit akses ajar bca lancar downgrade
375;1;aplikasi login susah registrasi aktivasi password suruh ulang kacau
376;1;akses login hasil lari menu temu utama tombol onboard data lengkap aplikasi selesai langsung deploy production dev magang uji
377;1;mybca blu bca akun mending ganti belah
378;1;muncul terang salah bangsat bayar qris jaring bagus
379;1;update salah
380;1;password login masuk
381;1;update salah
382;1;aplikasi paksa henti hapus data download ulang ram bca buruk kalah mobile banking
383;1;bagus bca mobile mybca bug lucu
384;1;aplikasi bodoh login verifikasi wajah gagal instruksi buruk
385;1;bangsat login
386;1;password verifikasi wajah aplikasi
387;1;masukin password bilang salah blokir
388;1;bca blokir solusi rumit login
389;1;transfer fitur
390;1;gara tunggu sms verifikasi bca mobile banking blokir layan susah
392;1;kali transaksi gagal langgan service solusi
393;1;buruk susah atm
394;1;aplikasi seeing logout suruh verifikasi jembud
395;1;payah gagal malam transaksi
396;1;aplikasi buruk kecewa
397;1;update versi fitur verifikasi aktif layan transaksi debit online klik muncul pemberitahuan sedia bangsat via bca pusat bantu mohon aplikasi
398;1;login palsu password masuk cari
399;1;buruk logout login verifikasi pulsa kali
401;1;lelah registrasi bca rumit jaring bagus bilang buruk putus
403;1;verifikasi wajah rusak login gagal saran bca aplikasi sampah
404;1;login langsung arah cari baca internet komentar rating play store alami balas bca solutif hasil experience buruk
405;1;login verifikasi
406;1;niat deploy aplikasi paksa login mati susah izin lokasi muncul notifikasi bug kali buruk kesan senang
407;1;buka mobile banking bank langsung susah rumit layan
408;1;password verifikasi wajah buka
410;1;akun gagal reset password kali hubung bca kelas selesai data
411;1;bca bodoh saldo potong ribu saran download aplikasi
412;1;aplikasi lambat optimal bangsat registrasi akun menginput proses alami muat paksa ulang tera email login kendala tekan tombol input lupa muncul pesan daftar
413;1;suka salah stiap update download login kena biaya habis pulsa mending dana bca serba bayar
414;1;aplikasi salah reset password batas isi bca kartu input update mybca kali login transaksi kacau
415;1;ambil kartu atm rumit urus lupa password komplit salah ktp kecewa
417;1;aplikasi henti
418;1;pntek bca stiap update maju nyusahin butuh cepat
419;1;aplikasi buruk salah malu password qris gagal
420;1;beli paket data harga ribu aplikasi standar car grab jam online hpnya
421;1;marah aplikasi transfer muncul terang salah
422;1;aneh pusat data blokir layan minim
423;1;aplikasi buka bangsat isi daftar
424;1;verifikasi wajah susah registrasi mybca tinggal langkah
425;1;detail mutasi saldo login jam menit
426;1;kecewa buka rekening berkas camat alasanya huruf aneh posisi video langgan service menit nampak transaksi judi tabung susah
427;1;verifikasi wajah suruh via video sambung alam
428;1;mybca isi saldo potong
429;1;serius wajah recognition tablet gagal paksa henti hapus data aksesibilitas nonaktif memori kosong bca solusi aplikasi baik habis pulsa langgan
430;1;aplikasi layak bodoh verifikasi salah lupa password rumit
431;1;verifikasi wajah gagal sesuai arah capek
432;1;saldo potong anjing
433;1;mobile banking susah rumit
434;1;bca aplikasi
435;1;komentar muas aplikasi update bintang layak
436;1;login hasil kartu susah
437;1;isi saldo hilang potong transaksi hutang jangkau
438;1;gampang salah
439;1;lambat kali masuk password muncul salah ulang pikir lucu desak update buka mudah marah
440;1;kecewa bca saldo hilang ribu login potong tutup rekening rugi
441;1;aplikasi buruk kemarin registrasi rekening verifikasi isi seabank login tanggal februari transaksi hasil tindak
442;1;real potong saldo transaksi tarik transfer bri mobile rekening nama
444;1;aplikasi pasang alih paket data memory internal longar
446;1;update login ulang verifikasi data kali gagal suruh tunggu menit baik langgan service bca pulsa jaring pribadi sesuai
447;1;lambat aplikasi
448;1;sulit login mybca lupa password salah
449;1;biaya bulananya mahal
450;1;layan buruk erti takedown ktp bangsat proses analis paksa buka rekening
451;1;aktif langgan service suara beda kena layan
453;1;saldo potong ribu pemberitahuan aplikasi
455;1;login plihan keluh
456;1;pend kontol
457;1;rumit verifikasi download bca mobile apnya buruk login gagal perkara pindah akses banking kuras pulsa heran
458;1;habis pulsa login verifikasi
459;1;update bca suka sedot saldo
460;1;lelah sma bca kali jaga kendala susah password pergi negeri lapor lempar
461;1;login fitur cari pilih lihat saran laku isi menu klik solusi
462;1;saldo rekening notifikasi bijak comot cashflow ribu nyata hilang main
463;1;daftar aplikasi via online dana sedot habis biaya sesal login ribu potong langsung sisa tinggal tahan mobile banking bank saking marah blokir kartu niat tabung allah makan saldo ikhlas
464;1;download redmi
465;1;bca mobile puluh nyaman aplikasi ringan mudah login mybca susah langsung mental rumit malas momok sumpah
466;1;pelit verifikasi
467;1;layak fitur verifikasi wajah ujung blokir via video langgan service
468;1;suruh update sedia versi kacau
469;1;blokir rumit urus mesti tunggu pimpin
470;1;aplikasi bujang ganggu rekomendasi
471;1;kirim verifikasi muncul muas layan cepat rumit aktif
472;1;niat registrasi online singkat password sesi video tugas susah kali bilang kendala nyala kamera selang menit mati proses gagal nyoba buruk layan introspeksi
473;1;saldo ngendap mybca akses buka tarik
474;1;muat login masukin
475;1;aplikasi buruk download verifikasi klik kolom tuju pilih
476;1;log nyaman
477;1;verifikasi wajah aktivasi tinggal tanda tangan kamera aktif bank bodoh
478;1;proses buka rekening verifikasi wajah tulis turn mode
479;1;hubung langgan service bca mybca qris jam login hasil
481;1;mybca login verifikasi muncul rusak tunggu layan niat aplikasi
482;1;update kali lambat
484;1;sistem pintar sulit pindah
485;1;aplikasi bodoh registrasi suruh video password
