review,rating_asli,angka_text,cleaned_review,lowercase,normalisasi,tokenizing,filtering,stemming,stemming_join
saya gak salah masukan password malah keblokir. Uda mau reset password OTP gak kekirim. Terblokir lama.,1,saya gak salah masukan password malah keblokir. Uda mau reset password OTP gak kekirim. Terblokir lama.,saya gak salah masukan pasword malah keblokir Uda mau reset pasword OTP gak kekirim Terblokir lama,saya gak salah masukan pasword malah keblokir uda mau reset pasword otp gak kekirim terblokir lama,saya tidak salah masukan password malah keblokir sudah akan reset password otp tidak kekirim terblokir lama,"['saya', 'tidak', 'salah', 'masukan', 'password', 'malah', 'keblokir', 'sudah', 'akan', 'reset', 'password', 'otp', 'tidak', 'kekirim', 'terblokir', 'lama']","['salah', 'masukan', 'password', 'keblokir', 'reset', 'password', 'otp', 'kekirim', 'terblokir']","['salah', 'masuk', 'password', 'blokir', 'reset', 'password', 'otp', 'kirim', 'blokir']",salah masuk password blokir reset password otp kirim blokir
kenapa tiba2 tidak bisa lihat saldo tabungan,1,kenapa tiba dua  tidak bisa lihat saldo tabungan,kenapa tiba tidak bisa lihat saldo tabungan,kenapa tiba tidak bisa lihat saldo tabungan,kenapa tiba tidak bisa lihat saldo tabungan,"['kenapa', 'tiba', 'tidak', 'bisa', 'lihat', 'saldo', 'tabungan']","['lihat', 'saldo', 'tabungan']","['lihat', 'saldo', 'tabung']",lihat saldo tabung
"memang rusak ini aplikasi tiba tiba ke blokir, terus pin transaksi tiba tiba ke blokir, siallll",1,"memang rusak ini aplikasi tiba tiba ke blokir, terus pin transaksi tiba tiba ke blokir, siallll",memang rusak ini aplikasi tiba tiba ke blokir terus pin transaksi tiba tiba ke blokir sial,memang rusak ini aplikasi tiba tiba ke blokir terus pin transaksi tiba tiba ke blokir sial,memang rusak ini aplikasi tiba tiba ke blokir terus password transaksi tiba tiba ke blokir sial,"['memang', 'rusak', 'ini', 'aplikasi', 'tiba', 'tiba', 'ke', 'blokir', 'terus', 'password', 'transaksi', 'tiba', 'tiba', 'ke', 'blokir', 'sial']","['rusak', 'aplikasi', 'blokir', 'password', 'transaksi', 'blokir', 'sial']","['rusak', 'aplikasi', 'blokir', 'password', 'transaksi', 'blokir', 'sial']",rusak aplikasi blokir password transaksi blokir sial
setelah update aplikasinya sering bugs lemot.... tolong kepada BCA coba ditingkatkan lagi aplikasinya,1,setelah update aplikasinya sering bugs lemot.... tolong kepada BCA coba ditingkatkan lagi aplikasinya,setelah update aplikasinya sering bugs lemot tolong kepada BCA coba ditingkatkan lagi aplikasinya,setelah update aplikasinya sering bugs lemot tolong kepada bca coba ditingkatkan lagi aplikasinya,setelah perbarui aplikasi sering bug lambat tolong kepada bca coba ditingkatkan lagi aplikasi,"['setelah', 'perbarui', 'aplikasi', 'sering', 'bug', 'lambat', 'tolong', 'kepada', 'bca', 'coba', 'ditingkatkan', 'lagi', 'aplikasi']","['perbarui', 'aplikasi', 'bug', 'lambat', 'bca', 'ditingkatkan', 'aplikasi']","['baru', 'aplikasi', 'bug', 'lambat', 'bca', 'tingkat', 'aplikasi']",baru aplikasi bug lambat bca tingkat aplikasi
"benerin software ny dong biar ga lemot & suka stuck, perasaan gw buka pubg aja kaga lemot, lah ini apk lemotnya kebangetan, kayanya pubg kalah HD sama tampilan BCA",1,"benerin software ny dong biar ga lemot & suka stuck, perasaan gw buka pubg aja kaga lemot, lah ini apk lemotnya kebangetan, kayanya pubg kalah HD sama tampilan BCA",benerin software ny dong biar ga lemot suka stuck perasan gw buka pubg aja kaga lemot lah ini apk lemotnya kebangetan kayanya pubg kalah HD sama tampilan BCA,benerin software ny dong biar ga lemot suka stuck perasan gw buka pubg aja kaga lemot lah ini apk lemotnya kebangetan kayanya pubg kalah hd sama tampilan bca,perbaiki software nya dong biar tidak lambat suka stuck perasan saya buka pubg saja tidak lambat lah ini aplikasi lemotnya kebangetan kayanya pubg kalah hd sama tampilan bca,"['perbaiki', 'software', 'nya', 'dong', 'biar', 'tidak', 'lambat', 'suka', 'stuck', 'perasan', 'saya', 'buka', 'pubg', 'saja', 'tidak', 'lambat', 'lah', 'ini', 'aplikasi', 'lemotnya', 'kebangetan', 'kayanya', 'pubg', 'kalah', 'hd', 'sama', 'tampilan', 'bca']","['perbaiki', 'software', 'biar', 'lambat', 'suka', 'stuck', 'perasan', 'buka', 'pubg', 'lambat', 'aplikasi', 'lemotnya', 'kebangetan', 'kayanya', 'pubg', 'kalah', 'hd', 'tampilan', 'bca']","['baik', 'software', 'biar', 'lambat', 'suka', 'stuck', 'peras', 'buka', 'pubg', 'lambat', 'aplikasi', 'lot', 'banget', 'kaya', 'pubg', 'kalah', 'hd', 'tampil', 'bca']",baik software biar lambat suka stuck peras buka pubg lambat aplikasi lot banget kaya pubg kalah hd tampil bca
setelh si updet malh gk bisa login,1,setelh si updet malh gk bisa login,setelh si updet malh gk bisa login,setelh si updet malh gk bisa login,setelh sih update malah tidak bisa masuk,"['setelh', 'sih', 'update', 'malah', 'tidak', 'bisa', 'masuk']","['setelh', 'update', 'masuk']","['setelh', 'update', 'masuk']",setelh update masuk
kenapa lemot ya aplikasi mbca,1,kenapa lemot ya aplikasi mbca,kenapa lemot ya aplikasi mbca,kenapa lemot ya aplikasi mbca,kenapa lambat iya aplikasi bca mobile,"['kenapa', 'lambat', 'iya', 'aplikasi', 'bca', 'mobile']","['lambat', 'iya', 'aplikasi', 'bca', 'mobile']","['lambat', 'iya', 'aplikasi', 'bca', 'mobile']",lambat iya aplikasi bca mobile
setelah di update aplikasi makin lemot,1,setelah di update aplikasi makin lemot,setelah di update aplikasi makin lemot,setelah di update aplikasi makin lemot,setelah di perbarui aplikasi makin lambat,"['setelah', 'di', 'perbarui', 'aplikasi', 'makin', 'lambat']","['perbarui', 'aplikasi', 'lambat']","['baru', 'aplikasi', 'lambat']",baru aplikasi lambat
gimana sih abis update malah gabisa dibuka muter muter doang,1,gimana sih abis update malah gabisa dibuka muter muter doang,gimana sih abis update malah gabisa dibuka muter muter doang,gimana sih abis update malah gabisa dibuka muter muter doang,bagaimana sih abis perbarui malah tidak bisa dibuka muter muter doang,"['bagaimana', 'sih', 'abis', 'perbarui', 'malah', 'tidak', 'bisa', 'dibuka', 'muter', 'muter', 'doang']","['perbarui', 'dibuka', 'muter', 'muter', 'doang']","['baru', 'buka', 'muter', 'muter', 'doang']",baru buka muter muter doang
Vermuk susah banget emng ngga jelas nih apk mmg,1,Vermuk susah banget emng ngga jelas nih apk mmg,Vermuk susah banget emng nga jelas nih apk mg,vermuk susah banget emng nga jelas nih apk mg,verifikasi wajah susah sangat emng nga jelas nih aplikasi message,"['verifikasi', 'wajah', 'susah', 'sangat', 'emng', 'nga', 'jelas', 'nih', 'aplikasi', 'message']","['verifikasi', 'wajah', 'susah', 'emng', 'aplikasi', 'message']","['verifikasi', 'wajah', 'susah', 'emng', 'aplikasi', 'message']",verifikasi wajah susah emng aplikasi message
